what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304503872496
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1304503890044
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1304503890197
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1304503890245
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1304503906065
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1304503924743
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304503993379
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1304504003752
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304504003818
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304504035247
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304504096756
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1304504100731
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304504149066
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304504237607
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304504244705
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304504248793
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1304504255293
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304504309665
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304504313488
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304504368827
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304504389286
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1304504488699
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1304504488784
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1304504640435
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304504898383
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304504926491
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304505039435
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304505064897
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1304505066732
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304505069578
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304505083030
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304505229462
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304505245009
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304505398386
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304505404947
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304505455402
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304505469689
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1304505482309
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1304505484561
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304505497322
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304505506468
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304505542969
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304505545616
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1304505567195
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1304505572639
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1304505592719
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1304505614819
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1304505751598
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1304505771552
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304505778312
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304505818080
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1304505822399
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1304505831288
opened,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1304505841511
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1304505861669
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1304505868729
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304505870593
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304505871619
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1304505875635
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1304505876267
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1304505876720
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1304505877202
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1304505878141
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1304505878742
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1304505879427
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1304505881194
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304505887813
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304505967899
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304505975098
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304505989693
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304506033010
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304506055828
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1304506063567
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304506074072
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1304506109705
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304506109826
